2.000000 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [S], seq 0, win 65535, options [TS val 2000 ecr 0,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [S.], seq 0, ack 1, win 65535, options [TS val 2050 ecr 2000,wscale 2,sackOK,eol], length 0
2.100185 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], ack 1, win 32768, options [TS val 2100 ecr 2050,eol], length 0
13.243843 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 101601:102137, ack 1, win 32768, options [TS val 13242 ecr 13192,eol], length 536: HTTP
13.343929 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 101601, win 32768, options [TS val 13293 ecr 13140,eol], length 0
13.343929 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 102137:102673, ack 1, win 32768, options [TS val 13343 ecr 13293,eol], length 536: HTTP
13.344873 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 102673:103209, ack 1, win 32768, options [TS val 13343 ecr 13293,eol], length 536: HTTP
13.444959 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 102673, win 32768, options [TS val 13394 ecr 13242,eol], length 0
13.444959 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 103209:103745, ack 1, win 32768, options [TS val 13444 ecr 13394,eol], length 536: HTTP
13.445903 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 103745:104281, ack 1, win 32768, options [TS val 13444 ecr 13394,eol], length 536: HTTP
13.446847 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 104281:104817, ack 1, win 32768, options [TS val 13444 ecr 13394,eol], length 536: HTTP
13.545990 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 103745, win 32768, options [TS val 13495 ecr 13343,eol], length 0
13.545990 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 104817:105353, ack 1, win 32768, options [TS val 13545 ecr 13495,eol], length 536: HTTP
13.546934 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 105353:105889, ack 1, win 32768, options [TS val 13545 ecr 13495,eol], length 536: HTTP
13.547878 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 104817, win 32768, options [TS val 13497 ecr 13444,eol], length 0
13.547878 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 105889:106425, ack 1, win 32768, options [TS val 13547 ecr 13497,eol], length 536: HTTP
13.548822 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 106425:106961, ack 1, win 32768, options [TS val 13547 ecr 13497,eol], length 536: HTTP
13.647964 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 105889, win 32768, options [TS val 13597 ecr 13545,eol], length 0
13.647964 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 106961:107497, ack 1, win 32768, options [TS val 13647 ecr 13597,eol], length 536: HTTP
13.648908 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 107497:108033, ack 1, win 32768, options [TS val 13647 ecr 13597,eol], length 536: HTTP
13.649852 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 106961, win 32768, options [TS val 13599 ecr 13547,eol], length 0
13.649852 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 108033:108569, ack 1, win 32768, options [TS val 13649 ecr 13599,eol], length 536: HTTP
13.650796 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 108569:109105, ack 1, win 32768, options [TS val 13649 ecr 13599,eol], length 536: HTTP
13.749939 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 108033, win 32768, options [TS val 13699 ecr 13647,eol], length 0
13.749939 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 109105:109641, ack 1, win 32768, options [TS val 13749 ecr 13699,eol], length 536: HTTP
13.750883 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 109641:110177, ack 1, win 32768, options [TS val 13749 ecr 13699,eol], length 536: HTTP
13.751827 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 109105, win 32768, options [TS val 13701 ecr 13649,eol], length 0
13.751827 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 110177:110713, ack 1, win 32768, options [TS val 13749 ecr 13699,eol], length 536: HTTP
13.752771 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 110713:111249, ack 1, win 32768, options [TS val 13751 ecr 13701,eol], length 536: HTTP
13.753715 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 111249:111785, ack 1, win 32768, options [TS val 13751 ecr 13701,eol], length 536: HTTP
13.851913 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 110177, win 32768, options [TS val 13801 ecr 13749,eol], length 0
13.851913 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 111785:112321, ack 1, win 32768, options [TS val 13851 ecr 13801,eol], length 536: HTTP
13.852857 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 112321:112857, ack 1, win 32768, options [TS val 13851 ecr 13801,eol], length 536: HTTP
13.853801 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 111249, win 32768, options [TS val 13803 ecr 13749,eol], length 0
13.853801 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 112857:113393, ack 1, win 32768, options [TS val 13853 ecr 13803,eol], length 536: HTTP
13.854745 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 113393:113929, ack 1, win 32768, options [TS val 13853 ecr 13803,eol], length 536: HTTP
13.952943 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 112321, win 32768, options [TS val 13902 ecr 13751,eol], length 0
13.952943 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 113929:114465, ack 1, win 32768, options [TS val 13952 ecr 13902,eol], length 536: HTTP
13.953887 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 114465:115001, ack 1, win 32768, options [TS val 13952 ecr 13902,eol], length 536: HTTP
13.954831 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 13904 ecr 13851,eol], length 0
13.954831 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 115001:115537, ack 1, win 32768, options [TS val 13954 ecr 13904,eol], length 536: HTTP
13.955775 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 115537:116073, ack 1, win 32768, options [TS val 13954 ecr 13904,eol], length 536: HTTP
13.956719 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 116073:116609, ack 1, win 32768, options [TS val 13954 ecr 13904,eol], length 536: HTTP
14.053987 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14003 ecr 13851,sack 1 {113929:114465}], length 0
14.053987 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 116609:117145, ack 1, win 32768, options [TS val 14053 ecr 14003,eol], length 536: HTTP
14.054931 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14004 ecr 13851,sack 1 {113929:115001}], length 0
14.054931 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 117145:117681, ack 1, win 32768, options [TS val 14054 ecr 14004,eol], length 536: HTTP
14.055875 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14005 ecr 13851,sack 1 {113929:115537}], length 0
14.055875 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 113393:113929, ack 1, win 32768, options [TS val 14055 ecr 14005,eol], length 536: HTTP
14.056819 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14006 ecr 13851,sack 1 {113929:116073}], length 0
14.057763 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14007 ecr 13851,sack 1 {113929:116609}], length 0
14.155030 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14104 ecr 13851,sack 1 {113929:117145}], length 0
14.155974 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14105 ecr 13851,sack 1 {113929:117681}], length 0
14.155974 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 117681:118217, ack 1, win 32768, options [TS val 14155 ecr 14105,eol], length 536: HTTP
14.257017 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14206 ecr 13851,sack 1 {113929:118217}], length 0
14.257017 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 118217:118753, ack 1, win 32768, options [TS val 14257 ecr 14206,eol], length 536: HTTP
14.358060 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14307 ecr 13851,sack 1 {113929:118753}], length 0
14.358060 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 118753:119289, ack 1, win 32768, options [TS val 14358 ecr 14307,eol], length 536: HTTP
14.459103 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14409 ecr 13851,sack 1 {113929:119289}], length 0
14.459103 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 119289:119825, ack 1, win 32768, options [TS val 14459 ecr 14409,eol], length 536: HTTP
14.560147 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14510 ecr 13851,sack 1 {113929:119825}], length 0
14.560147 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 119825:120361, ack 1, win 32768, options [TS val 14560 ecr 14510,eol], length 536: HTTP
14.661190 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14611 ecr 13851,sack 1 {113929:120361}], length 0
14.661190 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 120361:120897, ack 1, win 32768, options [TS val 14661 ecr 14611,eol], length 536: HTTP
14.762233 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14712 ecr 13851,sack 1 {113929:120897}], length 0
14.762233 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 120897:121433, ack 1, win 32768, options [TS val 14762 ecr 14712,eol], length 536: HTTP
14.863276 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14813 ecr 13851,sack 1 {113929:121433}], length 0
14.863276 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 121433:121969, ack 1, win 32768, options [TS val 14863 ecr 14813,eol], length 536: HTTP
14.954831 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 113393:113929, ack 1, win 32768, options [TS val 14954 ecr 14813,eol], length 536: HTTP
14.964319 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 113393, win 32768, options [TS val 14914 ecr 13851,sack 1 {113929:121969}], length 0
15.055862 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 121969, win 32768, options [TS val 15005 ecr 14954,eol], length 0
15.055862 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 121969:122505, ack 1, win 32768, options [TS val 15055 ecr 15005,eol], length 536: HTTP
15.356892 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 122505, win 32768, options [TS val 15306 ecr 15055,eol], length 0
15.356892 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 122505:123041, ack 1, win 32768, options [TS val 15356 ecr 15306,eol], length 536: HTTP
15.357836 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 123041:123577, ack 1, win 32768, options [TS val 15356 ecr 15306,eol], length 536: HTTP
15.458867 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 123577, win 32768, options [TS val 15408 ecr 15356,eol], length 0
15.458867 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 123577:124113, ack 1, win 32768, options [TS val 15458 ecr 15408,eol], length 536: HTTP
15.459811 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 124113:124649, ack 1, win 32768, options [TS val 15458 ecr 15408,eol], length 536: HTTP
15.560841 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 124649, win 32768, options [TS val 15510 ecr 15458,eol], length 0
15.560841 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 124649:125185, ack 1, win 32768, options [TS val 15560 ecr 15510,eol], length 536: HTTP
15.561785 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 125185:125721, ack 1, win 32768, options [TS val 15560 ecr 15510,eol], length 536: HTTP
15.662815 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 125721, win 32768, options [TS val 15612 ecr 15560,eol], length 0
15.662815 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 125721:126257, ack 1, win 32768, options [TS val 15662 ecr 15612,eol], length 536: HTTP
15.663759 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 126257:126793, ack 1, win 32768, options [TS val 15662 ecr 15612,eol], length 536: HTTP
15.664703 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 126793:127329, ack 1, win 32768, options [TS val 15662 ecr 15612,eol], length 536: HTTP
15.764790 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 126793, win 32768, options [TS val 15714 ecr 15662,eol], length 0
15.764790 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 127329:127865, ack 1, win 32768, options [TS val 15764 ecr 15714,eol], length 536: HTTP
15.765734 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 127865:128401, ack 1, win 32768, options [TS val 15764 ecr 15714,eol], length 536: HTTP
15.865820 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 127865, win 32768, options [TS val 15815 ecr 15662,eol], length 0
15.865820 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 128401:128937, ack 1, win 32768, options [TS val 15865 ecr 15815,eol], length 536: HTTP
15.866764 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 128937:129473, ack 1, win 32768, options [TS val 15865 ecr 15815,eol], length 536: HTTP
15.966851 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 128937, win 32768, options [TS val 15916 ecr 15764,eol], length 0
15.966851 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 129473:130009, ack 1, win 32768, options [TS val 15966 ecr 15916,eol], length 536: HTTP
15.967795 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 130009:130545, ack 1, win 32768, options [TS val 15966 ecr 15916,eol], length 536: HTTP
15.968739 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 130545:131081, ack 1, win 32768, options [TS val 15966 ecr 15916,eol], length 536: HTTP
16.068838 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 129473, win 32768, options [TS val 16018 ecr 15865,sack 1 {130009:130545}], length 0
16.068838 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 131081:131617, ack 1, win 32768, options [TS val 16068 ecr 16018,eol], length 536: HTTP
16.069782 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 129473, win 32768, options [TS val 16019 ecr 15865,sack 1 {130009:131081}], length 0
16.069782 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 131617:132153, ack 1, win 32768, options [TS val 16068 ecr 16018,eol], length 536: HTTP
16.070726 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 132153:132689, ack 1, win 32768, options [TS val 16069 ecr 16019,eol], length 536: HTTP
16.169881 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 129473, win 32768, options [TS val 16119 ecr 15865,sack 1 {130009:131617}], length 0
16.169881 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 129473:130009, ack 1, win 32768, options [TS val 16169 ecr 16119,eol], length 536: HTTP
16.170825 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 129473, win 32768, options [TS val 16120 ecr 15865,sack 1 {130009:132153}], length 0
16.171769 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 129473, win 32768, options [TS val 16121 ecr 15865,sack 1 {130009:132689}], length 0
16.171769 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 132689:133225, ack 1, win 32768, options [TS val 16171 ecr 16121,eol], length 536: HTTP
16.270911 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 132689, win 32768, options [TS val 16220 ecr 16169,eol], length 0
16.270911 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 133225:133761, ack 1, win 32768, options [TS val 16270 ecr 16220,eol], length 536: HTTP
16.472799 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 133225, win 32768, options [TS val 16422 ecr 16171,eol], length 0
16.472799 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 133761:134297, ack 1, win 32768, options [TS val 16472 ecr 16422,eol], length 536: HTTP
16.573843 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 133225, win 32768, options [TS val 16523 ecr 16171,sack 1 {133761:134297}], length 0
16.573843 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 134297:134833, ack 1, win 32768, options [TS val 16573 ecr 16523,eol], length 536: HTTP
16.674886 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 133225, win 32768, options [TS val 16624 ecr 16171,sack 1 {133761:134833}], length 0
16.674886 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 134833:135369, ack 1, win 32768, options [TS val 16674 ecr 16624,eol], length 536: HTTP
16.775929 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 133225, win 32768, options [TS val 16725 ecr 16171,sack 1 {133761:135369}], length 0
16.775929 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 133225:133761, ack 1, win 32768, options [TS val 16775 ecr 16725,eol], length 536: HTTP
16.876959 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 135369, win 32768, options [TS val 16826 ecr 16775,eol], length 0
16.876959 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 135369:135905, ack 1, win 32768, options [TS val 16876 ecr 16826,eol], length 536: HTTP
16.877903 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 135905:136441, ack 1, win 32768, options [TS val 16876 ecr 16826,eol], length 536: HTTP
16.978934 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 136441, win 32768, options [TS val 16928 ecr 16876,eol], length 0
16.978934 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 136441:136977, ack 1, win 32768, options [TS val 16978 ecr 16928,eol], length 536: HTTP
16.979878 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 136977:137513, ack 1, win 32768, options [TS val 16978 ecr 16928,eol], length 536: HTTP
17.080908 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 137513, win 32768, options [TS val 17030 ecr 16978,eol], length 0
17.080908 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 137513:138049, ack 1, win 32768, options [TS val 17080 ecr 17030,eol], length 536: HTTP
17.081852 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 138049:138585, ack 1, win 32768, options [TS val 17080 ecr 17030,eol], length 536: HTTP
17.082796 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 138585:139121, ack 1, win 32768, options [TS val 17080 ecr 17030,eol], length 536: HTTP
17.182883 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 138585, win 32768, options [TS val 17132 ecr 17080,eol], length 0
17.182883 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 139121:139657, ack 1, win 32768, options [TS val 17182 ecr 17132,eol], length 536: HTTP
17.183827 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 139657:140193, ack 1, win 32768, options [TS val 17182 ecr 17132,eol], length 536: HTTP
17.283913 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 139657, win 32768, options [TS val 17233 ecr 17080,eol], length 0
17.283913 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 140193:140729, ack 1, win 32768, options [TS val 17283 ecr 17233,eol], length 536: HTTP
17.284857 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 140729:141265, ack 1, win 32768, options [TS val 17283 ecr 17233,eol], length 536: HTTP
17.384943 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 140729, win 32768, options [TS val 17334 ecr 17182,eol], length 0
17.384943 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 141265:141801, ack 1, win 32768, options [TS val 17384 ecr 17334,eol], length 536: HTTP
17.385887 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 141801:142337, ack 1, win 32768, options [TS val 17384 ecr 17334,eol], length 536: HTTP
17.386831 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 142337:142873, ack 1, win 32768, options [TS val 17384 ecr 17334,eol], length 536: HTTP
17.485974 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 141801, win 32768, options [TS val 17435 ecr 17283,eol], length 0
17.485974 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 142873:143409, ack 1, win 32768, options [TS val 17485 ecr 17435,eol], length 536: HTTP
17.486918 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 143409:143945, ack 1, win 32768, options [TS val 17485 ecr 17435,eol], length 536: HTTP
17.487862 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 142873, win 32768, options [TS val 17437 ecr 17384,eol], length 0
17.487862 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 143945:144481, ack 1, win 32768, options [TS val 17487 ecr 17437,eol], length 536: HTTP
17.488806 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 144481:145017, ack 1, win 32768, options [TS val 17487 ecr 17437,eol], length 536: HTTP
17.587948 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 143945, win 32768, options [TS val 17537 ecr 17485,eol], length 0
17.587948 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 145017:145553, ack 1, win 32768, options [TS val 17587 ecr 17537,eol], length 536: HTTP
17.588892 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 145553:146089, ack 1, win 32768, options [TS val 17587 ecr 17537,eol], length 536: HTTP
17.688991 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 144481, win 32768, options [TS val 17638 ecr 17487,sack 1 {145017:145553}], length 0
17.688991 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 146089:146625, ack 1, win 32768, options [TS val 17688 ecr 17638,eol], length 536: HTTP
17.689935 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 146625:147161, ack 1, win 32768, options [TS val 17688 ecr 17638,eol], length 536: HTTP
17.790047 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 144481, win 32768, options [TS val 17739 ecr 17487,sack 2 {146089:146625}{145017:145553}], length 0
17.790047 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 147161:147697, ack 1, win 32768, options [TS val 17790 ecr 17739,eol], length 536: HTTP
17.790991 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 144481, win 32768, options [TS val 17740 ecr 17487,sack 2 {146089:147161}{145017:145553}], length 0
17.790991 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 144481:145017, ack 1, win 32768, options [TS val 17790 ecr 17740,eol], length 536: HTTP
17.891103 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 144481, win 32768, options [TS val 17840 ecr 17487,sack 2 {146089:147697}{145017:145553}], length 0
17.891103 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 145553:146089, ack 1, win 32768, options [TS val 17891 ecr 17840,eol], length 536: HTTP
17.892035 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 145553, win 32768, options [TS val 17841 ecr 17790,sack 1 {146089:147697}], length 0
17.892047 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 147697:148233, ack 1, win 32768, options [TS val 17892 ecr 17841,eol], length 536: HTTP
17.992134 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 147697, win 32768, options [TS val 17942 ecr 17891,eol], length 0
17.992134 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 148233:148769, ack 1, win 32768, options [TS val 17992 ecr 17942,eol], length 536: HTTP
18.093164 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 148769, win 32768, options [TS val 18043 ecr 17892,eol], length 0
18.093164 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 148769:149305, ack 1, win 32768, options [TS val 18093 ecr 18043,eol], length 536: HTTP
18.094108 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 149305:149841, ack 1, win 32768, options [TS val 18093 ecr 18043,eol], length 536: HTTP
18.195139 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 149841, win 32768, options [TS val 18145 ecr 18093,eol], length 0
18.195139 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 149841:150377, ack 1, win 32768, options [TS val 18195 ecr 18145,eol], length 536: HTTP
18.196083 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 150377:150913, ack 1, win 32768, options [TS val 18195 ecr 18145,eol], length 536: HTTP
18.197027 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 150913:151449, ack 1, win 32768, options [TS val 18195 ecr 18145,eol], length 536: HTTP
18.297113 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 150913, win 32768, options [TS val 18247 ecr 18195,eol], length 0
18.297113 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 151449:151985, ack 1, win 32768, options [TS val 18297 ecr 18247,eol], length 536: HTTP
18.298057 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 151985:152521, ack 1, win 32768, options [TS val 18297 ecr 18247,eol], length 536: HTTP
18.398143 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 151985, win 32768, options [TS val 18348 ecr 18195,eol], length 0
18.398143 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 152521:153057, ack 1, win 32768, options [TS val 18398 ecr 18348,eol], length 536: HTTP
18.399087 IP 10.1.1.1.49153 > 10.1.1.2.8080: Flags [.], seq 153057:153593, ack 1, win 32768, options [TS val 18398 ecr 18348,eol], length 536: HTTP
18.499174 IP 10.1.1.2.8080 > 10.1.1.1.49153: Flags [.], ack 153057, win 32768, options [TS val 18449 ecr 18297,eol], length 0
